Text,Latitude,Longitude,Altitude,Type
"Fairfield, IA, USA",41.007222,-91.965833,0,city
"Dubuque, IA, USA",42.5,-90.69,0,city
"LaSalle, IL, USA",41.341111,-89.090833,0,city
"Elgin, IL, USA",42.038333,-88.322778,0,city
"Evansville, IN, USA",37.977222,-87.550556,0,city
"Selden, NY, USA",40.870833,-73.046944,0,city
"Freeport, NY, USA",40.653889,-73.586944,0,city
"Hamilton, NY, USA",42.829167,-75.552778,0,city
"Millersville, PA, USA",40.006111,-76.351389,0,city
"Bethlehem, PA, USA",40.626111,-75.375556,0,city
"College Park, MD, USA",38.996667,-76.9275,0,city
"Petersburg, VA, USA",37.21295,-77.400417,0,city
"Altoona, PA, USA",40.51,-78.4,0,city
"West Liberty, WV, USA",40.165556,-80.594722,0,city
"Shepherdstown, WV, USA",39.431944,-77.806111,0,city
"Elkins, WV, USA",38.921389,-79.850833,0,city
"Bluefield, WV, USA",37.262222,-81.218611,0,city
"Montgomery, WV, USA",38.18,-81.326667,0,city
"Institute, WV, USA",38.383611,-81.765278,0,city
"Yonkers, NY, USA",40.941389,-73.864444,0,city
"Batavia, NY, USA",42.998611,-78.184167,0,city
"Cobleskill, NY, USA",42.680278,-74.4175,0,city
"Oneonta, NY, USA",42.455833,-75.062222,0,city
"Jamestown, NY, USA",42.095556,-79.238611,0,city
"Plainfield, NJ, USA",40.615444,-74.415775,0,city
"Northfield, MA, USA",42.695833,-72.453333,0,city
"Atlantic City, NJ, USA",39.3625,-74.425,0,city
"Cambridge, MA, USA",42.373611,-71.110556,0,city
"East Meadow, NY, USA",40.713611,-73.555833,0,city
"New Rochelle, NY, USA",40.908611,-73.781944,0,city
"Gettysburg, PA, USA",39.828333,-77.232222,0,city
"Harrisonburg, VA, USA",38.449444,-78.868889,0,city
"Lancaster, PA, USA",40.039722,-76.304444,0,city
"Mount Pleasant, MI, USA",43.597778,-84.7675,0,city
"Muncie, IN, USA",40.193333,-85.388056,0,city
"DeKalb, IL, USA",41.931389,-88.750278,0,city
"Stevens Point, WI, USA",44.523056,-89.560278,0,city
"Eau Claire, WI, USA",44.816667,-91.5,0,city
"St. Paul, MN, USA",44.944167,-93.093611,0,city
"Mankato, MN, USA",44.166667,-94.0,0,city
"Pendleton, OR, USA",45.669722,-118.791389,0,city
"Yakima, WA, USA",46.601944,-120.507778,0,city
"Everett, WA, USA",47.979167,-122.201667,0,city
"Beaverton, OR, USA",45.486944,-122.803611,0,city
"Redding, CA, USA",40.583333,-122.366667,0,city
"Hayward, CA, USA",37.66882,-122.080796,0,city
"Reno, NV, USA",39.527222,-119.821944,0,city
"Santa Rosa, CA, USA",38.448611,-122.704722,0,city
"China Lake, CA, USA",35.650833,-117.661667,0,city
"Riverside, CA, USA",33.948056,-117.396111,0,city
"Long Beach, CA, USA",33.768333,-118.195556,0,city
