Place,Venues,Repertory
"Atlantic City, NJ, USA",Atlantic City High School Auditorium,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Austin, TX, USA","University of Texas at Austin; Performing Arts Concert Hall, University of Texas at Austin; Municipal Auditorium; The Texas Union, University of Texas Austin",The Still Point; Masekela Langage; The Stack-Up; Night Creature; Divining; Flowers; Cry; Love Songs; The Road of the Phoebe Snow; Feast of Ashes; Fever Swamp; Suspension; Treading; Fontessa and Friends; Concerto in F; Tilt; Phases; Rainbow 'Round My Shoulder; Streams; Revelations; After Eden
"Avignon, France",Cour d'Honneur du Palais des Papes,Cry; The Lark Ascending; Gazelle; The Mooche; Carmina Burana; Night Creature; Rainbow 'Round My Shoulder; Journey; Pas de Duke; Streams; Revelations; After Eden; Hobo Sapiens; Blues Suite; Facets; Love Songs
"Baalbek, Lebanon",Court of the Temple of Bacchus,The Lark Ascending; Blues Suite; Streams; Revelations; Hidden Rites; Kinetic Molpai; Cry
"Bacolod City, Philippines","Auditorium, The University of Negros Occidental",Mountainway Chant; Been Here and Gone; Cinco Latinos; Revelations; The Beloved
"Baldwin City, KS, USA",Baker University,
"Baltimore, MD, USA","Dalsheimer Auditorium, Baltimore Hebrew Congregation; Lyric Opera House; Coppin State College; Shriver Auditorium, Johns Hopkins University",Speeds; The Stack-Up; Night Creature; Cry; Love Songs; The Lark Ascending; Treading; Fontessa and Friends; Concerto in F; Survivors; Blues Suite; Vespers; Memoria; Isba; Portrait of Billie; Suite Otis; Congo Tango Palace; Bad Blood; Reflections in D; Rainbow 'Round My Shoulder; Revelations; Divining; Caverna Magica; Toccata
"Bangkok, Thailand",National Theater,Gazelle; Blues Suite; Rainbow 'Round My Shoulder; Revelations; Night Creature; Cry; Facets
"Banjaluka, Socialist Federal Republic of Yugoslavia",,Lament; The Road of the Phoebe Snow; The Prodigal Prince; Revelations; Blues Suite
"Bari, Italy",Teatro Petruzelli,Suite Otis; Landscape; The Stack-Up; Night Creature; Revelations; Cry; Come and Get the Beauty of It Hot
"Basel, Switzerland",Basel Tanzt,Cry; Bad Blood; The Stack-Up; Night Creature; Streams; Revelations; Treading; Concerto in F; Divining; Caverna Magica
"Batavia, NY, USA",Batavia High School Auditorium,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Baton Rouge, LA, USA","Union Theater, Louisiana State University; Louisiana State University",Feast of Ashes; Blues Suite; Streams; Carmina Burana; Revelations; Cry; Love Songs
"Beaverton, OR, USA",,Icarus; Revelations; Journey; Blues Suite; Toccata
"Bedford, NY, USA",Fox Lane High School,Revelations; Metallics; Journey; Blues Suite; Toccata
"Beijing, China",Central Ballet; Beijing Exhibition Hall,Memoria; Night Creature; Revelations; Concerto in F; Cry
"Beit Berl, Israel",,The Prodigal Prince; Reflections in D; Revelations; Blues Suite; Toccata
"Beja, Portugal",Teatro Pax Julia,The Road of the Phoebe Snow; Blues Suite; Toccata; Reflections in D
"Belgrade, Socialist Federal Republic of Yugoslavia",Atelje 212,Congo Tango Palace; Reflections in D; Metallics; The Beloved; Toccata
"Berkeley, CA, USA","Zellerbach Auditorium, University of California Berkeley; Zellerbach Auditorium, University of California Berkeley ; Wheeler Auditorium, University of California Berkeley",Masekela Langage; The Mooche; Dance for Six; District Storyville; Shards; The Road of the Phoebe Snow; Concerto in F; Pigs and Fishes; According to Eve; Liberian Suite; Reflections in D; Streams; Research; After Eden; Gazelle; Flowers; Cry; Landscape; Feast of Ashes; For 'Bird' - With Love; Tilt; Night Shade; Memoria; Precipice; Opus McShann; Icarus; Portrait of Billie; Caverna Magica; From the Mountains of Taubalu; Congo Tango Palace; Bad Blood; The River; Countdown; Inside; Revelations; Metallics; Divining; Time Out of Mind; The Prodigal Prince; Witness; The Stack-Up; Butterfly; How Long Have It Been; Tell It Like It Is; Kinetic Molpai; Quintet; Choral Dances; Fever Swamp; Fontessa and Friends; Coverage II; Later That Day; Poeme; Suite Otis; Crossword; Blood Memories; Rainbow 'Round My Shoulder; Hidden Rites; Songs Without Words; Toccata; The Still Point; Speeds; Night Creature; Missa Brevis; Blueshift; Love Songs; The Lark Ascending; Ancestral Voices; Treading; Survivors; Vespers; The Time Before the Time After (After the Time Before); Phases; Isba; Blood Burning Moon; Panambi; Hobo Sapiens; Facets; Caravan; Carmina Burana; Les Noces; Blues Suite
"Berlin, Germany",Deutsche Oper Berlin; Akademie der Künste; Theater des Westens,The Mooche; The Stack-Up; Night Creature; How Long Have It Been; Dance for Six; Kinetic Molpai; Cry; Missa Brevis; Love Songs; The Lark Ascending; The Road of the Phoebe Snow; Treading; Survivors; Vespers; For 'Bird' - With Love; Caverna Magica; Come and Get the Beauty of It Hot; Rooms; Carmina Burana; Revelations; Rainbow 'Round My Shoulder; Streams; The Magic of Katherine Dunham; Hermit Songs; Blues Suite; Toccata
"Bern, Switzerland",Stadttheater Bern,The Stack-Up; Cry; Night Creature; Revelations
"Bethlehem, PA, USA",Broughal Junior High School Auditorium,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Binghamton, NY, USA","Anderson Center for the Arts, State University of New York Binghamton; Harpur College Theater, State University of New York Binghamton",The Magic of Katherine Dunham
"Birmingham, AL, USA",Birmingham Music Club,Cry; Feast of Ashes; Streams; Revelations
"Bloomington, IN, USA","University Auditorium, Indiana University; University Auditorium, Indiana University ",Memoria; Suite Otis; Later That Day; Inside; Night Creature; Streams; Revelations; Clear Songs After Rain; According to Eve; Mary Lou's Mass; Flowers; Love Songs
"Bluefield, WV, USA","Ramsey Elementary School Auditorium, Bluefield State College",
"Bochum, Germany",,The Road of the Phoebe Snow; Revelations; Hermit Songs; Blues Suite; Toccata
