Place,Venues,Repertory
"Detroit, MI, USA","Fisher Theatre; Detroit Institute of Arts; Scottish Rite Cathedral; Memorial Building, University of Detroit; Masonic Temple Theater; Music Hall Center for the Performing Arts",Spectrum; Masekela Langage; Journey; The Black Belt; Dance for Six; Shards; The Road of the Phoebe Snow; Concerto in F; Pigs and Fishes; Liberian Suite; To Jose Clemente Orozco; Reflections in D; Streams; Research; Gillespiana; Hermit Songs; Satyriade; After Eden; Gazelle; Flowers; Anjour: Ruminations on Dudley; Cry; Landscape; Feast of Ashes; For 'Bird' - With Love; Tilt; Night Shade; Memoria; Precipice; Opus McShann; The Wedding; Icarus; Portrait of Billie; Caverna Magica; From the Mountains of Taubalu; Myth; Bad Blood; The River; Countdown; Inside; Revelations; Collage; Divining; Witness; The Stack-Up; Lullaby for a Jazz Baby; Butterfly; Tell It Like It Is; Quintet; Choral Dances; Fever Swamp; Fontessa and Friends; Coverage II; Later That Day; Sonnets; Suite Otis; Fanga; Crossword; Blood Memories; Rainbow 'Round My Shoulder; Hidden Rites; Songs Without Words; Toccata; The Still Point; Speeds; Night Creature; Blueshift; Love Songs; The Lark Ascending; Ancestral Voices; Treading; Survivors; Vespers; Light; The Time Before the Time After (After the Time Before); Echoes in Blue; Phases; Isba; Blood Burning Moon; Hobo Sapiens; Facets; Carmina Burana; Les Noces; Blues Suite; Seven Journeys; How to Walk an Elephant
"Donetsk, Ukraine, U.S.S.R.",State Theater of Opera and Ballet,Masekela Langage; The Road of the Phoebe Snow; Congo Tango Palace; Poeme; Reflections in D; Icarus; Streams; Revelations; Journey; Metallics; Dance for Six; Blues Suite; Toccata
"Dubrovnik, Socialist Federal Republic of Yugoslavia",Fort Revelin Terrace; Revscin Fortress,Cry; Congo Tango Palace; The Prodigal Prince; Reflections in D; Icarus; Rainbow 'Round My Shoulder; Revelations; Journey; Metallics; Credo; Blues Suite; Toccata; Untitled New York
"Dubuque, IA, USA","Terrence Donaghoe Hall, Clark College",The Road of the Phoebe Snow; Blues Suite; Revelations
"Durham, NC, USA","Page Auditorium, Duke University; Memorial Hall, University of North Carolina Chapel Hill; B.N. Duke Auditorium, North Carolina College Durham",The Stack-Up; Night Creature; Butterfly; Flowers; Cry; Quintet; Love Songs; District Storyville; The Lark Ascending; Treading; Vespers; Light; Myth; Suite Otis; Bad Blood; Reflections in D; Streams; Revelations; Gillespiana; Divining; Blues Suite
"Dusseldorf, Germany",Schauspielhaus,The Road of the Phoebe Snow; Reflections in D; Revelations; Blues Suite; Come and Get the Beauty of It Hot
"East Brunswick, NJ, USA",East Brunswick High School,
"East Hampton, NY, USA",Guild Hall; East Hampton High School Auditorium,Blues Suite; Rainbow 'Round My Shoulder; Revelations; Night Creature; After Eden; Cry
"East Lansing, MI, USA","University Auditorium, Michigan State University; Cobb Great Hall, Wharton Center for the Performing Arts, Michigan State University; Fairchild Theatre, Michigan State University; [High School]",Gazelle; Time Out of Mind; Masekela Langage; Speeds; The Prodigal Prince; The Stack-Up; Night Creature; How Long Have It Been; Dance for Six; Cry; Choral Dances; Landscape; The Lark Ascending; The Road of the Phoebe Snow; Fever Swamp; Suspension; Treading; Coverage II; For 'Bird' - With Love; Memoria; Phases; Pigs and Fishes; The Wedding; Sonnets; Nocturne; Portrait of Billie; Hobo Sapiens; Suite Otis; Crossword; Blood Memories; Countdown; Rainbow 'Round My Shoulder; Streams; Revelations; Choros; Carmina Burana; Hermit Songs; Divining; Blues Suite
"East Meadow, NY, USA","Lakeside Theater, Eisenhower Park",
"Eau Claire, WI, USA","Eau Claire University Arena, Wisconsin State University",Masekela Langage; Quintet; Revelations
"Edinburgh, Scotland",Church Hill Theatre,The Prodigal Prince; Congo Tango Palace; Reflections in D; Icarus; Revelations; Journey; Metallics; The Black Belt; Credo; Knoxville: Summer of 1915; Quintet; Toccata
"Ein Hashofet, Israel",,The Prodigal Prince; Reflections in D; Revelations; Blues Suite; Toccata
"Eindhoven, Netherlands",Stadsschouwburg,The Road of the Phoebe Snow; The Prodigal Prince; Congo Tango Palace; Reflections in D; Revelations; Metallics; Credo; The Black Belt; Blues Suite; Toccata
"El Cajon, CA, USA","College Gym, Grossmont College",The Prodigal Prince; Congo Tango Palace; Reflections in D; Revelations; Toccata
"Elgin, IL, USA",Larkin High School Auditorium,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Elkins, WV, USA",Davis and Elkins College,
"Elmira, NY, USA",Clemens Center,Suite Otis; Cry; Fire Sermon; Gazelle; Bad Blood; Night Creature; Rainbow 'Round My Shoulder; Streams; Revelations; Treading; Hermit Songs; Tell It Like It Is; Flowers; Blues Suite; Love Songs
"Evansville, IN, USA",Vanderburgh Auditorium,Congo Tango Palace; Reflections in D; Icarus; Revelations; Toccata
"Everett, WA, USA",Everett Civic Auditorium,Icarus; Revelations; Journey; Blues Suite; Toccata
"Fairfield, IA, USA","Fry-Thomas Memorial Fieldhouse, Parsons College",Congo Tango Palace; Reflections in D; Been Here and Gone; Cinco Latinos; Revelations; Gillespiana; Blues Suite; Toccata
"Farmville, VA, USA","Jarman Hall, Longwood College",Revelations; Quintet; Blues Suite
"Faro, Portugal",Teatro Santo Antonio,Lament; Reflections in D; Revelations; Blues Suite; Toccata
"Flint, MI, USA",Whiting Auditorium,
"Florence, Italy",Teatro della Pergola,Lament; The Road of the Phoebe Snow; Congo Tango Palace; Reflections in D; Rooms; Revelations; Gillespiana; Hermit Songs; Blues Suite
"Fort Collins, CO, USA","Student Center Theater, Colorado State University Fort Collins; Colorado State University",The Lark Ascending; Rainbow 'Round My Shoulder; Revelations; Dance for Six; Kinetic Molpai; Cry; Missa Brevis
"Fort Wayne, IN, USA",Fort Wayne Community Concerts,Reflections in D; Revelations; Metallics; Blues Suite; Toccata
"Fort Worth, TX, USA",Tarrant County Convention Center Theater,Suite Otis; Memoria; Cry; Speeds; To Jose Clemente Orozco; The Stack-Up; Rainbow 'Round My Shoulder; Streams; Revelations; Treading; Concerto in F; Satyriade; Divining; Songs Without Words; Blues Suite
"Frankfort, KY, USA","Bell Health and Physical Education Building, Kentucky State College; Bradford Hall, Kentucky State University",Blues Suite; Dance for Six; Revelations
"Frankfurt, Germany",Alte Oper; Jahrhunderthalle; Stadtische Bühnen Oper,Suite Otis; Cry; Come and Get the Beauty of It Hot; Sarong Paramaribo; The Stack-Up; Night Creature; Rainbow 'Round My Shoulder; Revelations; Treading; Fontessa and Friends; Divining; Caverna Magica; Vespers; Night Shade; Love Songs
"Fredonia, NY, USA","Fredonia State College; Old Main Auditorium, State University of New York Fredonia",The Road of the Phoebe Snow; Congo Tango Palace; Blues Suite; Reflections in D; Icarus; Revelations; Journey; Metallics; Quintet; Toccata
"Freeport, NY, USA",Freeport High School,Reflections in D; Blues Suite; Revelations
"Friedrichshafen, West Germany",Graf Zepplin Haus,Cry; Speeds; Blues Suite; The Stack-Up; Streams; Revelations; Treading; The Magic of Katherine Dunham; Concerto in F; Caverna Magica
"Fukuoka, Japan",Fukuoka Sun Palace Hall,Suite Otis; Isba; Blues Suite; The Stack-Up; Revelations; Treading; Cry; For 'Bird' - With Love
"Galveston, TX, USA",Moody Civic Center,Hermit Songs; Blues Suite; Icarus; Revelations
"Garden City, NY, USA","Macy's Special Events Center, Roosevelt Field",
"Geneseo, NY, USA",Wadsworth Auditorium,Lament; Revelations; The Beloved; Blues Suite; Toccata
"Geneva, Switzerland",Grand Casino de Genève; Theatre de la Comedie,Speeds; The Stack-Up; Night Creature; Cry; Lament; The Lark Ascending; The Road of the Phoebe Snow; Treading; For 'Bird' - With Love; Portrait of Billie; Caverna Magica; Suite Otis; Congo Tango Palace; Bad Blood; Reflections in D; Revelations; The Magic of Katherine Dunham; Divining; Blues Suite
"Genoa, Italy",Teatro Margherita,Lament; Congo Tango Palace; Reflections in D; Revelations; Blues Suite
"George Town, Penang, Malaysia",Penang Chinese Girls' High School,Mountainway Chant; Been Here and Gone; Revelations; Gillespiana; The Beloved; Roots of the Blues
"Gettysburg, PA, USA","Student Union Building Auditorium, Gettysburg College",Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Ghent, Belgium",Koninklijke Opera; Opera House,Suite Otis; District Storyville; Masekela Langage; The Mooche; Night Creature; Carmina Burana; Streams; Butterfly; Revelations; Cry; Tilt; Love Songs
"Giza, Egypt",Sphinx Theater,Cry; The Lark Ascending; The Road of the Phoebe Snow; The Wait; Rainbow 'Round My Shoulder; Night Creature; Streams; Revelations; Blues Suite; Facets
"Glassboro, NJ, USA","Wilson Concert Hall, Glassboro State College; Glassboro State College",Fanga; The Lark Ascending; The Wedding; Rainbow 'Round My Shoulder; Revelations; How Long Have It Been; Nocturne; Portrait of Billie; Missa Brevis
"Gothenburg, Sweden",,The Stack-Up; Night Creature; Revelations; Treading; Concerto in F; Portrait of Billie; Cry
"Grambling, LA, USA","T.H. Harris Auditorium, Grambling State University",After Eden; Blues Suite; Night Creature; Revelations
"Grand Rapids, MI, USA",Godwin Heights High School Auditorium,The Lark Ascending; Liberian Suite; Echoes in Blue; Reflections in D; Night Creature; Streams; Revelations; Hidden Rites; Hermit Songs; Cry
"Graz, Austria",Opera House,Suite Otis; Divining; Cry; Revelations
"Great Neck, NY, USA",Great Neck South Senior High School; Great Neck North Senior High School,Reflections in D; Been Here and Gone; Cinco Latinos; Revelations; Metallics; The Beloved; Roots of the Blues; Blues Suite; Toccata
"Greensboro, NC, USA","Aycock Auditorium, University of North Carolina Greensboro; Harrison Auditorium, A&T College of North Carolina",Cry; The Lark Ascending; The Road of the Phoebe Snow; The Time Before the Time After (After the Time Before); The Prodigal Prince; Poeme; Blues Suite; Night Creature; Rainbow 'Round My Shoulder; Revelations; Metallics; Treading; Survivors; Dance for Six; Divining; Quintet; Vespers; Love Songs
"Greenvale, NY, USA","Concert Theater, C.W. Post College",Suite Otis; Isba; The Stack-Up; Night Creature; Revelations; Treading; Fontessa and Friends; Divining; Cry
"Greenwich, CT, USA",Greenwich High School,The Lark Ascending; Blues Suite; Rainbow 'Round My Shoulder; Revelations; Cry
"Grinnell, IA, USA","Roberts Theatre, Grinnell College",Icarus; Dance for Six; Revelations
"Groningen, Netherlands",Stadsschouwburg,Lament; The Road of the Phoebe Snow; Congo Tango Palace; Reflections in D; Icarus; Revelations; Journey; Metallics; Toccata
"Hackensack, NJ, USA","Orrie de Nooyer Auditorium, Bergen County Vocational - Technical High School",Feast of Ashes; Blues Suite; The Wedding; Streams; Revelations; Choros; Cry; Love Songs
"Halifax, Nova Scotia, Canada","Dalhousie Arts Center, Dalhousie University",Suite Otis; Shards; Blues Suite; The Stack-Up; Revelations; Divining; Cry; From the Mountains of Taubalu
"Hamburg, Germany",Deutschen Schauspielhaus Hamburg,The Road of the Phoebe Snow; Congo Tango Palace; Reflections in D; Rooms; Revelations; Gillespiana; Hermit Songs; Blues Suite; Come and Get the Beauty of It Hot; Toccata
"Hamilton, Bermuda",City Hall Theatre,Blues Suite; Icarus; Revelations; Dance for Six; Cry
"Hamilton, NY, USA","Dana Art Center, Colgate University",Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Hammamet, Tunisia","Theatre de plein air, Centre Culturel International",The Prodigal Prince; Streams; Revelations
"Hampton, VA, USA","Ogden Hall, Hampton University",Blues Suite; Dance for Six; Revelations
"Hannover, Germany",Theater am Aegi Aegidientorplatz,Lament; Reflections in D; Revelations; Blues Suite; Toccata
"Hanover, NH, USA","Hopkins Center, Dartmouth College; Spaulding Auditorium, Dartmouth College",The Black Belt; Blues Suite; Revelations
"Harrisonburg, VA, USA","Wilson Auditorium, Madison College",Poeme; Icarus; Revelations; Metallics; Journey; Toccata
"Hartford, CT, USA",Hartford Jewish Community Center; Bushnell Memorial Hall,Gazelle; Spectrum; Masekela Langage; Speeds; Time Out of Mind; The Stack-Up; Night Creature; Journey; Butterfly; Mary Lou's Mass; Flowers; Cry; Landscape; The Lark Ascending; Treading; Fontessa and Friends; Survivors; Concerto in F; Vespers; The Time Before the Time After (After the Time Before); Pigs and Fishes; Sonnets; Hobo Sapiens; Caverna Magica; Myth; Suite Otis; Congo Tango Palace; Bad Blood; Reflections in D; Rainbow 'Round My Shoulder; Streams; Revelations; Hermit Songs; Divining; Blues Suite; Toccata
"Hayward, CA, USA",Chabot Community College Auditorium,The Road of the Phoebe Snow; Congo Tango Palace; Threnody; Reflections in D; Toccata
"Helsinki, Finland",Svenska Teatern; Kultuuritalo; Kulturhuset,Suite Otis; Sunrise... Sunset; Gazelle; The Road of the Phoebe Snow; The Time Before the Time After (After the Time Before); Congo Tango Palace; Blues Suite; Reflections in D; Night Creature; Streams; Revelations; Butterfly; Cry; Toccata; Love Songs
"Hempstead, NY, USA","Playhouse, Hofstra University; Hofstra College",Light; Reflections in D; Revelations; Gillespiana; Hermit Songs; Blues Suite
"Heraklion, Greece",N. Kazantzakis Theater,Memoria; Cry; Pigs and Fishes; The Stack-Up; Night Creature; Fever Swamp; Streams; Revelations; Treading; Fontessa and Friends; Concerto in F; Satyriade; Blues Suite; Seven Journeys
"Hershey, PA, USA",Hershey Theatre,Landscape; The Lark Ascending; Phases; Blues Suite; Pigs and Fishes; Sonnets; Night Creature; Streams; Revelations; Treading; Concerto in F; Cry
"Highland Park, IL, USA",Highland Park High School,Icarus; Revelations; Journey; Blues Suite; Toccata
"Hiroshima, Japan",Hiroshima Kosei Nenkin Kaikan; Hiroshima Yubin Chokin Hall,Isba; Blues Suite; The Stack-Up; Revelations; Cry; For 'Bird' - With Love
"Hoffman Estates, IL, USA",Poplar Creek Music Theatre,Memoria; Concerto in F; Revelations
"Holmdel, NJ, USA",Garden State Arts Center,Choral Dances; Blues Suite; Revelations; Dance for Six; Flowers; Cry
Hong Kong,Hong Kong Coliseum; Hong Kong City Hall Concert Hall ; Hong Kong City Hall Concert Hall,Spectrum; Gazelle; Speeds; The Stack-Up; Night Creature; The Beloved; Cry; Love Songs; The Road of the Phoebe Snow; The Wait; Treading; Fontessa and Friends; Roots of the Blues; Concerto in F; Letter to a Lady; Memoria; Mountainway Chant; Phases; Pigs and Fishes; Been Here and Gone; Sonnets; Facets; Suite Otis; Rainbow 'Round My Shoulder; Streams; Revelations; Gillespiana; Hermit Songs; Divining; Blues Suite
"Honolulu, HI, USA","Waikiki Shell, Kapiolani Park; Blaisdell Center; Neal S. Blaisdell Concert Hall",Speeds; The Stack-Up; Night Creature; Cry; Love Songs; Fever Swamp; Treading; Fontessa and Friends; Concerto in F; Night Shade; Phases; Isba; Pigs and Fishes; Suite Otis; The River; Inside; Streams; Revelations; Divining; Blues Suite
"Houston, TX, USA",Jones Hall; Music Hall,Gazelle; The Still Point; Masekela Langage; Speeds; Time Out of Mind; The Stack-Up; Night Creature; Butterfly; Dance for Six; Flowers; Cry; Love Songs; Choral Dances; Landscape; The Lark Ascending; The Road of the Phoebe Snow; Suspension; Treading; Fontessa and Friends; Survivors; Concerto in F; Blues Suite; For 'Bird' - With Love; Night Shade; Vespers; Memoria; The Time Before the Time After (After the Time Before); Phases; Isba; Portrait of Billie; Hobo Sapiens; Facets; Suite Otis; Fanga; Crossword; Congo Tango Palace; Blood Memories; Bad Blood; The River; Places; Caravan; Rainbow 'Round My Shoulder; Streams; Revelations; Carmina Burana; Collage; Hermit Songs; Divining; Songs Without Words; Caverna Magica; Seven Journeys; Toccata
"Huntingdon, PA, USA",Juniata College,
"Indiana, PA, USA","Fisher Auditorium, Indiana University of Pennsylvania",Icarus; Revelations; Journey; Blues Suite; Toccata
"Indianapolis, IN, USA","Clowes Hall, Butler University",Suite Otis; Cry; The Lark Ascending; Gazelle; The Time Before the Time After (After the Time Before); Caravan; Rainbow 'Round My Shoulder; Night Creature; Revelations; Hobo Sapiens; Blues Suite
"Institute, WV, USA","College Auditorium, West Virginia University Institute of Technology",Reflections in D; Quintet; Congo Tango Palace; Revelations
"Iowa City, IA, USA","University of Iowa; McKinley Junior High; Hancher Auditorium, University of Iowa",Gazelle; Masekela Langage; The Stack-Up; Night Creature; Butterfly; Dance for Six; Mary Lou's Mass; Flowers; Cry; Love Songs; For 'Bird' - With Love; The Time Before the Time After (After the Time Before); Caverna Magica; Suite Otis; Congo Tango Palace; Bad Blood; Reflections in D; Rainbow 'Round My Shoulder; Choros; Revelations; Divining; Blues Suite; Toccata
"Ipoh, Malaysia",Lido Theatre,Trane' in Three; Been Here and Gone; Revelations; Gillespiana; The Beloved; Roots of the Blues
"Irvine, CA, USA",University of California Irvine,The Road of the Phoebe Snow; The Prodigal Prince; Revelations; Metallics; Blues Suite
"Istanbul, Turkey",Open Air theatre,Cry; Gazelle; Rainbow 'Round My Shoulder; Night Creature; Streams; Revelations; Blues Suite; Facets; Love Songs
"Jackson, MI, USA",Jackson High School Auditorium; Parkside High School Fieldhouse,Streams; Revelations; Dance for Six; Hermit Songs; Blues Suite; Myth
"Jackson, MS, USA",Jackson State College Dansby Hall Auditorium,Light; Reflections in D; Revelations; Gillespiana; Blues Suite
"Jakarta, Indonesia",Gedung Olahraga (sport center),Letter to a Lady; Been Here and Gone; Cinco Latinos; Revelations; Creation of the World; Gillespiana; The Beloved; Roots of the Blues; Hermit Songs
"Jamestown, NY, USA",Jamestown Community College,Icarus; Revelations; Journey; Quintet; Toccata
"Jerusalem, Israel",Sultan's Pool; Binyanei Ha'Uma,Suite Otis; The Prodigal Prince; Blues Suite; The Stack-Up; Reflections in D; Revelations; Divining; Cry; Toccata; Love Songs
"Johnson, VT, USA","Dibden Auditorium, Johnson State University",The Lark Ascending; The Wedding; Cry; Revelations
"Kalamazoo, MI, USA","Miller Auditorium, Western Michigan University",Cry; Blues Suite; Rainbow 'Round My Shoulder; Revelations
"Kampala, Uganda",Uganda National Culture Centre,Lament; The Road of the Phoebe Snow; The Prodigal Prince; Congo Tango Palace; Reflections in D; Revelations; Metallics; Blues Suite; Toccata
"Kansas City, KS, USA",Music Hall,The Lark Ascending; Liberian Suite; Night Creature; Revelations; Hidden Rites; After Eden; Cry; Love Songs
"Kansas City, MO, USA","White Recital Hall, Center for the Performing Arts, University of Missouri-Kansas; Capri Theater, William Jewell College; Westport High School; Folly Theater; Music Hall; Lyric Theatre; Little Theater, General Education Building, Johnson County Community College; Starlight Theatre",Spectrum; The Still Point; Masekela Langage; Speeds; Witness; Time Out of Mind; The Stack-Up; Night Creature; Dance for Six; Tell It Like It Is; Mary Lou's Mass; Flowers; Anjour: Ruminations on Dudley; Cry; Love Songs; Choral Dances; Shards; The Lark Ascending; Suspension; Treading; Fontessa and Friends; Survivors; Concerto in F; Blues Suite; For 'Bird' - With Love; Vespers; Memoria; Phases; Isba; Opus McShann; Adagio for a Dead Soldier; Portrait of Billie; Myth; Suite Otis; Bad Blood; The River; Rainbow 'Round My Shoulder; Streams; Revelations; Choros; Collage; Hermit Songs; Divining; Songs Without Words; Caverna Magica; How to Walk an Elephant
"Kaohsiung, Taiwan",Kaohsiung Municipal Stadium,Trane' in Three; Been Here and Gone; Revelations; Gillespiana; The Beloved; Roots of the Blues
"Karlovci, Socialist Federal Republic of Yugoslavia",,Congo Tango Palace; Reflections in D; Metallics; The Beloved; Toccata
"Kawasaki, Kanagawa, Japan",Kawasaki Shimin Kaikan,Mountainway Chant; Been Here and Gone; Revelations; Gillespiana; Roots of the Blues; Letter to a Lady
"Kent, CT, USA",Miller Auditorium,Icarus; Revelations; Journey; Dance for Six; Toccata
"Kent, OH, USA","University Auditorium, Kent State University",Light; Reflections in D; Revelations; Gillespiana; Blues Suite
"Kiev, Ukraine, U.S.S.R.",The New Palace of Culture,The Road of the Phoebe Snow; The Prodigal Prince; Congo Tango Palace; Poeme; Reflections in D; Icarus; Streams; Revelations; Journey; Metallics; Dance for Six; Blues Suite; Toccata
"Kingston, RI, USA","Edwards Auditorium, The University of Rhode Island",Icarus; Revelations; Journey; Dance for Six; Toccata
"Kinshasa, Democratic Republic of Congo",Salle des Spectacles du Zoo,Blues Suite; The Prodigal Prince; Revelations
"Kirksville, MO, USA","College Auditorium, Northeast Missouri State College",Blues Suite; Streams; Revelations
"Kobe, Japan",Kobe Bunka Hall,Suite Otis; Memoria; The Lark Ascending; The Road of the Phoebe Snow; Isba; The Stack-Up; Inside; Revelations; Treading; Cry; Facets; Love Songs
"Kuala Lumpur, Malaysia",Town Hall,Mountainway Chant; Been Here and Gone; Revelations; Gillespiana; The Beloved; Roots of the Blues
"Kumasi, Ghana",Prempeh Assembly Hall,
"Kutztown, PA, USA","Schaeffer Auditorium, Kutztown State College",Blues Suite; Congo Tango Palace; Revelations
"Kyoto, Japan",Kyoto Kaikan Dai-Ichi Hall; Kyoto Kaikan,Masekela Langage; The Stack-Up; Night Creature; Love Songs; The Wait; Fever Swamp; Treading; Fontessa and Friends; Roots of the Blues; Letter to a Lady; Mountainway Chant; Pigs and Fishes; Been Here and Gone; Facets; Suite Otis; Streams; Revelations; Gillespiana; After Eden; Songs Without Words; Blues Suite
"La Crosse, WI, USA","Coleman Technical Institute Auditorium, Wisconsin State University",Blues Suite; Revelations
"LaSalle, IL, USA",Mathieson School Auditorium,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
"Lafayette, IN, USA","Elliot Hall, Purdue University; Purdue Memorial Union, Purdue University",Cry; The Lark Ascending; The Prodigal Prince; Icarus; Streams; Revelations; Journey; Clear Songs After Rain; Mary Lou's Mass; Blues Suite; Toccata
"Lancaster, PA, USA",Lancaster High School Auditorium,Icarus; Revelations; Journey; Blues Suite; Toccata
"Lausanne, Switzerland",Au Theatre de Beaulieu,Suite Otis; Night Creature; Revelations; Treading; Divining; Cry; Vespers
"Lawrence, KS, USA","Hoch Auditorium, University of Kansas",Suite Otis; Cry; Pigs and Fishes; Fever Swamp; Revelations; Fontessa and Friends; Divining; Blues Suite
"Lee, MA, USA",Jacob's Pillow,To Jose Clemente Orozco; Cinco Latinos; Revelations; Gillespiana; Roots of the Blues; Letter to a Lady; Blues Suite
"Leiden, Netherlands",Stadsgehoorzaal,The Road of the Phoebe Snow; Reflections in D; Revelations; Metallics; Blues Suite; Toccata
"Leiria, Portugal",Teatro Jose Lucio Da Silva,
"Leningrad, Russia, U.S.S.R.",The Vyborgskiy House of Culture,The Road of the Phoebe Snow; Masekela Langage; The Prodigal Prince; Poeme; Reflections in D; Icarus; Streams; Revelations; Journey; Metallics; Dance for Six; Blues Suite; Toccata
"Leverkusen, West Germany",Forum; Beyer Forum,Suite Otis; Pigs and Fishes; Night Creature; Fever Swamp; Revelations; Treading; The Magic of Katherine Dunham; Concerto in F; Divining; Cry; For 'Bird' - With Love
"Lewisburg, PA, USA","The Sigmund and Claire Weis Center for the Performing Arts, Bucknell University; University Theater, Bucknell University",Love Songs; Blues Suite; Suite Otis; Revelations
"Lewiston, NY, USA",Artpark,Gazelle; Masekela Langage; The Stack-Up; Night Creature; Butterfly; Cry; Love Songs; Landscape; The Lark Ascending; The Road of the Phoebe Snow; Fever Swamp; Treading; Fontessa and Friends; Night Shade; Memoria; The Time Before the Time After (After the Time Before); Precipice; Isba; Pigs and Fishes; Icarus; Hobo Sapiens; Suite Otis; Congo Tango Palace; Rainbow 'Round My Shoulder; Streams; Revelations; Hermit Songs; Songs Without Words; Blues Suite; Toccata
"Liberty, MO, USA","John Gano Memorial Hall, William Jewell College",Congo Tango Palace; Reflections in D; Icarus; Revelations; The Beloved; Blues Suite; Toccata
"Lille, France",Le Colise Theater,Suite Otis; Cry; Blues Suite; Revelations; Treading; Divining; Caverna Magica
"Lima, Peru",Teatro Municipal,Suite Otis; The Lark Ascending; Rainbow 'Round My Shoulder; Night Creature; Revelations; Cry; Facets
"Lincoln, NE, USA","Kimball Recital Hall, University of Nebraska Lincoln ; Kimball Recital Hall, University of Nebraska Lincoln",Spectrum; Speeds; The Stack-Up; Night Creature; Divining; Cry; Love Songs; Fever Swamp; Treading; Fontessa and Friends; Concerto in F; Night Shade; Memoria; Isba; Pigs and Fishes; Suite Otis; The River; Rainbow 'Round My Shoulder; Streams; Revelations; After Eden; Songs Without Words; Blues Suite; How to Walk an Elephant
"Lipari, Italy",Theatro al Castello,Suite Otis; Revelations; Treading; Divining; Cry
"Lisbon, Portugal",Tivoli Theatre,Lament; The Road of the Phoebe Snow; The Prodigal Prince; Congo Tango Palace; Reflections in D; Revelations; The Beloved; Blues Suite; Toccata
"Little Rock, AR, USA",Robinson Center Music Hall,Suite Otis; The Lark Ascending; Bad Blood; The Stack-Up; Night Creature; Revelations; Treading; Divining; Cry; Love Songs
"Livorno, Italy",Villa Fabbricotti open air theater,Congo Tango Palace; The Prodigal Prince; Icarus; Revelations; Journey
"Ljubljana, Socialist Federal Republic of Yugoslavia",Poletno Gledalisce Križanke (Križanke Summer Theater); Krizanke Hall,Congo Tango Palace; The Prodigal Prince; Reflections in D; Icarus; Revelations; Journey; Metallics; The Beloved; Toccata
"London, England",Saville Theatre; Shaftesbury Theatre; Sadler's Wells Theatre; Wembly Arena; Royal Opera House,Masekela Langage; The Prodigal Prince; Journey; How Long Have It Been; The Beloved; Dance for Six; Mary Lou's Mass; Flowers; Kinetic Molpai; Cry; Love Songs; Lament; Choral Dances; The Lark Ascending; The Road of the Phoebe Snow; Concerto in F; Variegations; Child of the Earth; Poeme; Nubian Lady; Adagio for a Dead Soldier; Icarus; Been Here and Gone; Clear Songs After Rain; Paz; Gymnopedies; Myth; Congo Tango Palace; To Jose Clemente Orozco; Reflections in D; Rooms; Rainbow 'Round My Shoulder; Streams; Revelations; Metallics; Gillespiana; The Cageling; Hidden Rites; Choros; Hermit Songs; Knoxville: Summer of 1915; Blues Suite; Toccata
"Long Beach, CA, USA",Millikan High School Auditorium,Icarus; Revelations; Journey; Blues Suite; Toccata
"Los Angeles, CA, USA","Shrine Auditorium; University of California Los Angeles; Wadsworth Theater; The Greek Theatre; Japanese American Cultural Center; Wiltern Theatre; Royce Hall, University of California Los Angeles; Santa Monica Civic Auditorium; Jefferson High School; Hollywood Palace Theater; Thorne Hall, Occidental College",Spectrum; Masekela Langage; Journey; Dance for Six; Shards; The Road of the Phoebe Snow; Concerto in F; Pigs and Fishes; Reflections in D; Streams; Research; Gillespiana; Hermit Songs; Satyriade; After Eden; Gazelle; Flowers; Anjour: Ruminations on Dudley; Cry; Landscape; Feast of Ashes; For 'Bird' - With Love; Tilt; Night Shade; Memoria; Opus McShann; Diversion No. 1; Icarus; Portrait of Billie; Caverna Magica; From the Mountains of Taubalu; Myth; Congo Tango Palace; Bad Blood; The River; Countdown; Inside; Revelations; Metallics; Collage; Divining; The Prodigal Prince; Witness; Continental American Suite; The Stack-Up; Butterfly; How Long Have It Been; Tell It Like It Is; Kinetic Molpai; Quintet; Fever Swamp; Fontessa and Friends; Variegations; Later That Day; Poeme; Suite Otis; Crossword; Blood Memories; Rainbow 'Round My Shoulder; Pas de Duke; Hidden Rites; Songs Without Words; Toccata; The Still Point; Speeds; Night Creature; The Beloved; Missa Brevis; Love Songs; The Lark Ascending; Treading; Survivors; Vespers; Light; The Time Before the Time After (After the Time Before); Blood Burning Moon; Panambi; Hobo Sapiens; Facets; Carmina Burana; Les Noces; Blues Suite; Seven Journeys
"Louisville, KY, USA","Whitney Auditorium, Kentucky Center",Pigs and Fishes; The Stack-Up; Night Creature; Fever Swamp; Revelations; Treading; Fontessa and Friends; Concerto in F; Divining; Cry
"Ludwigsburg, Germany",Forum am Schlosspark,Suite Otis; Reflections in D; Night Creature; Streams; Revelations; Journey; Sarong Paramaribo; Come and Get the Beauty of It Hot
"Ludwigshafen, West Germany",Theater im Pfalzbau,Cry; Bad Blood; Pigs and Fishes; The Stack-Up; Night Creature; Fever Swamp; Revelations; Treading; Survivors; Concerto in F; Divining; Blues Suite; Love Songs
